Folio,Nivel de estudios,Campus,Área,Actividad,Fecha,ID,Clasificación,Región,Reincidencia,Programa,Semestre
R0405,La Secu,Hogwarts,Sociología,Estudio,15/05/2023 00:00,A000135,Plagio,Centro,No,ALPHA,8
R0406,Monster University,Empire,Arquitectura,Examen regulador,16/05/2023 00:00,A000136,Copia en exámenes,Centro,No,ALPHA,8
R0407,Monster University,Parque Jurásico,Arquitectura,Examen regulador,17/05/2023 00:00,A000137,Copia en exámenes,Sur,Sí,ALPHA,4
R0408,La Secu,"Muy, muy lejano",Sociología,Examen regulador,18/05/2023 00:00,A000138,Copia en exámenes,Norte,No,BETA,5
R0409,La Secu,Wonderland,Sociología,Prototipo,19/05/2023 00:00,A000139,Plagio,Centro,No,BETA,4
R0410,Monster University,Genovia,Negocios,Examen regulador,20/05/2023 00:00,A000140,Copia en exámenes,Norte,No,GAMMA,5
R0411,La Secu,Hogwarts,Sociología,Estudio,21/05/2023 00:00,A000141,Plagio,Centro,No,DELTA,6
R0412,La Secu,Hogwarts,Sociología,Estudio,22/05/2023 00:00,A000142,Plagio,Centro,Sí,EPSILON,2
R0413,La Secu,Hogwarts,Sociología,Estudio,23/05/2023 00:00,A000143,Plagio,Centro,Sí,DSETA,3
R0414,La Secu,Hogwarts,Sociología,Estudio,24/05/2023 00:00,A000144,Plagio,Centro,No,ETA,4
R0415,La Secu,Hogwarts,Sociología,Estudio,25/05/2023 00:00,A000145,Plagio,Centro,Sí,ETA,5
R0416,Monster University,Wonderland,Arquitectura,Examen regulador,26/05/2023 00:00,A000146,Distribución de exámenes,Centro,No,KAPPA,6
R0417,La Secu,Parque Jurásico,Sociología,Experimento,27/05/2023 00:00,A000147,Colusión,Sur,Sí,LAMBDA,9
R0418,La Secu,Parque Jurásico,Sociología,Experimento,28/05/2023 00:00,A000148,Colusión,Sur,No,OMICRON,2
R0419,La Secu,Pizza Planeta,Sociología,Experimento,29/05/2023 00:00,A000149,Plagio,Sur,No,PI,3
R0420,Monster University,Distrito 13,Diseños,Estudio,30/05/2023 00:00,A000150,Plagio,Centro,No,SIGMA,4
R0421,La Secu,Distrito 13,Sociología,Examen regulador,31/05/2023 00:00,A000151,Otra,Centro,No,OMEGA,5
R0422,Monster University,Genovia,Arquitectura,Experimento,01/06/2023 00:00,A000152,Compra-venta,Norte,No,JI,4
R0423,La Secu,Pizza Planeta,Sociología,Examen regulador,02/06/2023 00:00,A000153,Copia en exámenes,Sur,Sí,PHI,5
R0424,La Secu,Distrito 13,Sociología,Examen regulador,03/06/2023 00:00,A000154,Copia en exámenes,Centro,No,ETA,6
R0425,La Secu,Distrito 13,Sociología,Experimento,04/06/2023 00:00,A000155,Plagio,Centro,No,KAPPA,2
R0426,La Secu,Distrito 13,Sociología,Estudio,05/06/2023 00:00,A000156,Plagio,Centro,Sí,LAMBDA,3
R0427,La Secu,Springfield,Sociología,Prototipo,06/06/2023 00:00,A000157,Plagio,Centro,No,OMICRON,4
R0428,La Secu,Springfield,Sociología,Prototipo,07/06/2023 00:00,A000158,Plagio,Centro,No,PI,5
R0429,La Secu,Springfield,Sociología,Prototipo,08/06/2023 00:00,A000159,Plagio,Centro,No,SIGMA,6
R0430,La Secu,Springfield,Sociología,Prototipo,09/06/2023 00:00,A000160,Plagio,Centro,No,OMEGA,1
R0431,La Secu,Springfield,Sociología,Prototipo,10/06/2023 00:00,A000161,Plagio,Centro,Sí,JI,2
R0432,La Secu,Springfield,Sociología,Prototipo,11/06/2023 00:00,A000162,Plagio,Centro,Sí,PHI,3
R0433,La Secu,Springfield,Sociología,Prototipo,12/06/2023 00:00,A000163,Plagio,Centro,No,ALPHA,4
R0434,La Secu,Springfield,Sociología,Prototipo,13/06/2023 00:00,A000164,Plagio,Centro,Sí,BETA,5
R0435,La Secu,Springfield,Sociología,Prototipo,14/06/2023 00:00,A000165,Plagio,Centro,No,BETA,4
R0436,La Secu,Springfield,Sociología,Prototipo,15/06/2023 00:00,A000166,Plagio,Centro,Sí,GAMMA,5
R0437,La Secu,Springfield,Sociología,Prototipo,16/06/2023 00:00,A000167,Plagio,Centro,No,DELTA,6
R0438,La Secu,Springfield,Sociología,Prototipo,17/06/2023 00:00,A000168,Plagio,Centro,No,ETA,2
R0439,La Secu,Distrito 13,Sociología,Examen diagnóstico,18/06/2023 00:00,A000169,Copia en exámenes,Centro,No,KAPPA,3
R0440,La Secu,Distrito 13,Sociología,Examen diagnóstico,19/06/2023 00:00,A000170,Copia en exámenes,Centro,No,LAMBDA,9
R0441,La Secu,El País de Nunca Jamás,Sociología,Examen diagnóstico,20/06/2023 00:00,A000171,Copia en exámenes,Norte,No,OMICRON,5
R0442,Kindergardiano,Genovia,Negocios,Estudio,21/06/2023 00:00,A000172,Plagio,Norte,Sí,PI,6
R0443,La Secu,Pandora,Sociología,Prototipo,22/06/2023 00:00,A000173,Plagio,Norte,No,SIGMA,1
R0444,La Secu,Pandora,Sociología,Prototipo,23/06/2023 00:00,A000174,Plagio,Norte,No,OMEGA,2
R0445,La Secu,Pandora,Sociología,Examen diagnóstico,24/06/2023 00:00,A000175,Falsificación,Norte,Sí,JI,3
R0446,La Secu,Wonderland,Sociología,Prototipo,25/06/2023 00:00,A000176,Intercambio de tareas en línea,Centro,No,PHI,4
R0447,La Secu,Pizza Planeta,Sociología,Experimento,26/06/2023 00:00,A000177,Fabricación,Sur,No,ETA,5
R0448,Monster University,Genovia,Diseños,Examen diagnóstico,27/06/2023 00:00,A000178,Compra-venta,Norte,No,KAPPA,4
R0449,La Secu,"Muy, muy lejano",Sociología,Examen diagnóstico,28/06/2023 00:00,A000179,Otra,Centro,No,LAMBDA,5
R0450,La Secu,Parque Jurásico,Sociología,Examen diagnóstico,29/06/2023 00:00,A000180,Autoplagio,Norte,Sí,OMICRON,6
R0451,La Secu,Distrito 13,Sociología,Examen diagnóstico,30/06/2023 00:00,A000181,Copia en exámenes,Centro,Sí,TAU,2
R0452,Monster University,Pizza Planeta,Arquitectura,Prototipo,01/07/2023 00:00,A000182,Plagio,Sur,No,PSI,9
R0453,High School Musical,Wonderland,Sociología,Examen diagnóstico,02/07/2023 00:00,A000183,Copia en exámenes,Centro,Sí,RHO,4
R0454,High School Musical,El País de Nunca Jamás,Sociología,Examen diagnóstico,03/07/2023 00:00,A000184,Copia en exámenes,Sur,No,PI,5
R0455,Monster University,Genovia,Arquitectura,Experimento,04/07/2023 00:00,A000185,Distribución de exámenes,Norte,Sí,MU,6
R0456,High School Musical,"Muy, muy lejano",Sociología,Examen diagnóstico,05/07/2023 00:00,A000186,Copia en exámenes,Norte,No,IOTA,1
R0457,High School Musical,Wonderland,Sociología,Experimento,06/07/2023 00:00,A000187,Intercambio de tareas en línea,Centro,No,TAU,2
R0458,High School Musical,Springfield,Sociología,Estudio,07/07/2023 00:00,A000188,Plagio,Norte,No,PSI,3
R0459,High School Musical,Springfield,Sociología,Estudio,08/07/2023 00:00,A000189,Plagio,Norte,No,RHO,4
R0460,High School Musical,Springfield,Sociología,Estudio,09/07/2023 00:00,A000190,Plagio,Norte,No,PI,5
R0461,Kindergardiano,Genovia,Educación,Prototipo,10/07/2023 00:00,A000191,Plagio,Norte,Sí,MU,4
R0462,Kindergardiano,Genovia,Educación,Prototipo,11/07/2023 00:00,A000192,Plagio,Norte,No,IOTA,5
R0463,High School Musical,Wonderland,Sociología,Examen diagnóstico,12/07/2023 00:00,A000193,Copia en exámenes,Centro,No,ETA,6
R0464,High School Musical,Distrito 13,Sociología,Examen diagnóstico,13/07/2023 00:00,A000194,Copia en exámenes,Centro,Sí,KAPPA,2
R0465,High School Musical,Pizza Planeta,Sociología,Examen diagnóstico,14/07/2023 00:00,A000195,Fabricación,Sur,No,LAMBDA,3
R0466,Monster University,Pizza Planeta,Ingeniería,Estudio,15/07/2023 00:00,A000196,Colusión,Sur,No,OMICRON,9
R0467,Monster University,Genovia,Bienestar,Estudio,16/07/2023 00:00,A000197,Intercambio de tareas en línea,Norte,No,TAU,5
R0468,Monster University,Genovia,Bienestar,Estudio,17/07/2023 00:00,A000198,Intercambio de tareas en línea,Norte,No,PSI,6
R0469,Monster University,Genovia,Bienestar,Estudio,18/07/2023 00:00,A000199,Intercambio de tareas en línea,Norte,Sí,RHO,1
R0470,High School Musical,Distrito 13,Sociología,Examen diagnóstico,19/07/2023 00:00,A000200,Copia en exámenes,Centro,Sí,PI,2
R0471,Monster University,Narnia,Diseños,Estudio,20/07/2023 00:00,A000201,Plagio,Centro,No,MU,3
R0472,High School Musical,Pizza Planeta,Sociología,Examen diagnóstico,21/07/2023 00:00,A000202,Plagio,Sur,Sí,ALPHA,4
R0473,Monster University,Wonderland,Bienestar,Experimento,22/07/2023 00:00,A000203,Plagio,Centro,No,ALPHA,5
R0474,High School Musical,Wonderland,Sociología,Experimento,23/07/2023 00:00,A000204,Plagio,Centro,Sí,ALPHA,4
R0475,Monster University,Wonderland,Bienestar,Experimento,24/07/2023 00:00,A000205,Plagio,Centro,No,BETA,5
R0476,High School Musical,Wonderland,Sociología,Experimento,25/07/2023 00:00,A000206,Plagio,Centro,No,BETA,9
R0477,Monster University,Wonderland,Bienestar,Experimento,26/07/2023 00:00,A000207,Plagio,Centro,No,GAMMA,9
R0478,Monster University,Wonderland,Bienestar,Experimento,27/07/2023 00:00,A000208,Plagio,Centro,No,DELTA,3
R0479,Monster University,Wonderland,Bienestar,Experimento,28/07/2023 00:00,A000209,Plagio,Centro,No,EPSILON,9
R0480,Monster University,Wonderland,Bienestar,Experimento,29/07/2023 00:00,A000210,Plagio,Centro,Sí,DSETA,9
R0481,High School Musical,Wonderland,Sociología,Experimento,30/07/2023 00:00,A000211,Plagio,Centro,No,ETA,9
R0482,Monster University,Wonderland,Bienestar,Experimento,31/07/2023 00:00,A000212,Plagio,Centro,No,ETA,1
R0483,Monster University,Distrito 13,Bienestar,Examen diagnóstico,01/08/2023 00:00,A000213,Copia en exámenes,Centro,Sí,KAPPA,2
R0484,Monster University,Distrito 13,Bienestar,Examen diagnóstico,02/08/2023 00:00,A000214,Copia en exámenes,Centro,No,LAMBDA,3
R0485,High School Musical,El País de Nunca Jamás,Sociología,Experimento,03/08/2023 00:00,A000215,Copia en exámenes,Sur,No,OMICRON,4
R0486,Monster University,Distrito 13,Bienestar,Estudio,04/08/2023 00:00,A000216,Otra,Centro,No,PI,5
R0487,High School Musical,Wonderland,Sociología,Examen diagnóstico,05/08/2023 00:00,A000217,Plagio,Centro,No,SIGMA,4
R0488,High School Musical,Distrito 13,Sociología,Prototipo,06/08/2023 00:00,A000218,Plagio,Centro,Sí,OMEGA,5
R0489,High School Musical,Distrito 13,Sociología,Examen diagnóstico,07/08/2023 00:00,A000219,Copia en exámenes,Centro,Sí,JI,6
R0490,High School Musical,"Muy, muy lejano",Sociología,Examen diagnóstico,08/08/2023 00:00,A000220,Copia en exámenes,Centro,No,PHI,2
R0491,Monster University,Genovia,Bienestar,Estudio,09/08/2023 00:00,A000221,Intercambio de tareas en línea,Norte,Sí,ETA,3
R0492,High School Musical,Wonderland,Sociología,Examen diagnóstico,10/08/2023 00:00,A000222,Copia en exámenes,Centro,No,KAPPA,4
R0493,High School Musical,Wonderland,Sociología,Examen diagnóstico,11/08/2023 00:00,A000223,Copia en exámenes,Centro,Sí,LAMBDA,5
R0494,High School Musical,Wonderland,Sociología,Examen diagnóstico,12/08/2023 00:00,A000224,Copia en exámenes,Centro,No,OMICRON,6
R0495,High School Musical,Wonderland,Sociología,Examen diagnóstico,13/08/2023 00:00,A000225,Copia en exámenes,Centro,No,PI,1
R0496,High School Musical,Wonderland,Sociología,Examen diagnóstico,14/08/2023 00:00,A000226,Copia en exámenes,Centro,No,SIGMA,9
R0497,High School Musical,Wonderland,Sociología,Examen diagnóstico,15/08/2023 00:00,A000227,Copia en exámenes,Centro,No,OMEGA,3
R0498,High School Musical,Pandora,Sociología,Prototipo,16/08/2023 00:00,A000228,Plagio,Norte,No,JI,4
R0499,High School Musical,Pandora,Sociología,Prototipo,17/08/2023 00:00,A000229,Plagio,Norte,Sí,PHI,5
R0500,High School Musical,Pandora,Sociología,Prototipo,18/08/2023 00:00,A000230,Plagio,Norte,No,ALPHA,6
R0501,High School Musical,Pandora,Sociología,Prototipo,19/08/2023 00:00,A000231,Plagio,Norte,No,BETA,1
R0502,Monster University,Distrito 13,Ingeniería,Examen diagnóstico,20/08/2023 00:00,A000232,Copia en exámenes,Centro,Sí,BETA,2
R0503,Monster University,Distrito 13,Ingeniería,Examen diagnóstico,21/08/2023 00:00,A000233,Copia en exámenes,Centro,No,GAMMA,3
R0504,Monster University,Distrito 13,Ingeniería,Examen diagnóstico,22/08/2023 00:00,A000234,Copia en exámenes,Centro,No,DELTA,4
R0505,Monster University,Distrito 13,Ingeniería,Examen diagnóstico,23/08/2023 00:00,A000235,Copia en exámenes,Centro,No,ETA,5
R0506,Monster University,Wonderland,Arquitectura,Prototipo,24/08/2023 00:00,A000236,Plagio,Centro,No,KAPPA,4
R0507,Monster University,Genovia,Ingeniería,Examen diagnóstico,25/08/2023 00:00,A000237,Copia en exámenes,Norte,Sí,LAMBDA,5
R0508,Monster University,Wonderland,Ingeniería,Examen diagnóstico,26/08/2023 00:00,A000238,Copia en exámenes,Centro,Sí,OMICRON,6
R0509,Monster University,Genovia,Arquitectura,Examen diagnóstico,27/08/2023 00:00,A000239,Copia en exámenes,Norte,No,PI,2
R0510,Monster University,Wonderland,Ingeniería,Examen diagnóstico,28/08/2023 00:00,A000240,Copia en exámenes,Centro,Sí,SIGMA,3
R0511,Monster University,Genovia,Ingeniería,Examen diagnóstico,29/08/2023 00:00,A000241,Copia en exámenes,Norte,No,OMEGA,4
R0512,Monster University,Distrito 13,Bienestar,Estudio,30/08/2023 00:00,A000242,Colusión,Centro,Sí,JI,5
R0513,Monster University,Distrito 13,Bienestar,Estudio,31/08/2023 00:00,A000243,Colusión,Centro,No,PHI,6
R0514,High School Musical,El País de Nunca Jamás,Sociología,Estudio,01/09/2023 00:00,A000244,Plagio,Norte,No,ETA,1
R0515,High School Musical,Pizza Planeta,Sociología,Examen diagnóstico,02/09/2023 00:00,A000245,Copia en exámenes,Sur,No,KAPPA,2
R0516,High School Musical,Springfield,Sociología,Experimento,03/09/2023 00:00,A000246,Plagio,Centro,No,LAMBDA,3
R0517,High School Musical,Springfield,Sociología,Estudio,04/09/2023 00:00,A000247,Plagio,Centro,No,OMICRON,4
R0518,Monster University,Genovia,Arquitectura,Examen diagnóstico,05/09/2023 00:00,A000248,Distribución de exámenes,Norte,Sí,TAU,5
R0519,Monster University,Genovia,Arquitectura,Examen diagnóstico,06/09/2023 00:00,A000249,Copia en exámenes,Norte,No,PSI,4
R0520,High School Musical,Springfield,Sociología,Estudio,07/09/2023 00:00,A000250,Plagio,Norte,No,RHO,5
R0521,High School Musical,Springfield,Sociología,Estudio,08/09/2023 00:00,A000251,Plagio,Norte,Sí,PI,6
R0522,High School Musical,Springfield,Sociología,Prototipo,09/09/2023 00:00,A000252,Plagio,Centro,No,MU,2
R0523,High School Musical,Springfield,Sociología,Prototipo,10/09/2023 00:00,A000253,Plagio,Centro,No,IOTA,3
R0524,Monster University,Distrito 13,Bienestar,Prototipo,11/09/2023 00:00,A000254,Plagio,Centro,No,TAU,4
R0525,High School Musical,Springfield,Sociología,Examen diagnóstico,12/09/2023 00:00,A000255,Copia en exámenes,Centro,No,PSI,5
R0526,High School Musical,Springfield,Sociología,Examen diagnóstico,13/09/2023 00:00,A000256,Copia en exámenes,Centro,Sí,RHO,6
R0527,High School Musical,Springfield,Sociología,Examen diagnóstico,14/09/2023 00:00,A000257,Copia en exámenes,Centro,Sí,PI,1
R0528,High School Musical,"Muy, muy lejano",Sociología,Examen diagnóstico,15/09/2023 00:00,A000258,Copia en exámenes,Centro,No,MU,2
R0529,High School Musical,"Muy, muy lejano",Sociología,Examen diagnóstico,16/09/2023 00:00,A000259,Copia en exámenes,Centro,Sí,IOTA,3
R0530,High School Musical,"Muy, muy lejano",Sociología,Examen diagnóstico,17/09/2023 00:00,A000260,Copia en exámenes,Centro,No,ETA,4
R0531,Monster University,El País de Nunca Jamás,Bienestar,Experimento,18/09/2023 00:00,A000261,Soborno,Sur,Sí,KAPPA,5
R0532,Monster University,Hogwarts,Bienestar,Estudio,19/09/2023 00:00,A000262,Colusión,Centro,No,LAMBDA,4
R0533,Monster University,Hogwarts,Bienestar,Estudio,20/09/2023 00:00,A000263,Colusión,Centro,No,OMICRON,5
R0534,High School Musical,El País de Nunca Jamás,Sociología,Examen diagnóstico,21/09/2023 00:00,A000264,Copia en exámenes,Norte,No,TAU,6
R0535,Monster University,Genovia,Arquitectura,Examen diagnóstico,22/09/2023 00:00,A000265,Colusión,Norte,No,PSI,2
R0536,High School Musical,Pizza Planeta,Sociología,Experimento,23/09/2023 00:00,A000266,Copia en exámenes,Sur,No,RHO,3
R0537,High School Musical,Pizza Planeta,Sociología,Experimento,24/09/2023 00:00,A000267,Copia en exámenes,Sur,Sí,PI,4
R0538,High School Musical,Pizza Planeta,Sociología,Experimento,25/09/2023 00:00,A000268,Copia en exámenes,Sur,No,MU,5
R0539,High School Musical,Pizza Planeta,Sociología,Experimento,26/09/2023 00:00,A000269,Copia en exámenes,Sur,No,MU,6
R0540,High School Musical,Pizza Planeta,Sociología,Prototipo,27/09/2023 00:00,A000270,Plagio,Sur,Sí,MU,1
R0541,Kindergardiano,Narnia,Sociología,Examen nivelador,01/01/2023 00:00,A000001,Copia en exámenes,Centro,Sí,ALPHA,1
R0542,La Secu,Distrito 13,Sociología,Estudio,02/01/2023 00:00,A000002,Colusión,Centro,No,ALPHA,2
R0543,La Secu,Narnia,Sociología,Examen nivelador,03/01/2023 00:00,A000003,Copia en exámenes,Centro,No,ALPHA,3
R0544,La Secu,Narnia,Sociología,Examen nivelador,04/01/2023 00:00,A000004,Copia en exámenes,Centro,Sí,BETA,4
R0545,Big Bang Theory,Narnia,Arquitectura,Examen nivelador,05/01/2023 00:00,A000005,Copia en exámenes,Centro,No,BETA,5
R0546,La Secu,Narnia,Sociología,Estudio,06/01/2023 00:00,A000006,Plagio,Centro,No,GAMMA,6
R0547,Big Bang Theory,Pizza Planeta,Diseños,Prototipo,07/01/2023 00:00,A000007,Plagio,Sur,No,DELTA,1
R0548,Kindergardiano,Pizza Planeta,Arquitectura,Examen nivelador,08/01/2023 00:00,A000008,Copia en exámenes,Sur,No,EPSILON,2
R0549,Kindergardiano,Pizza Planeta,Arquitectura,Examen nivelador,09/01/2023 00:00,A000009,Copia en exámenes,Sur,Sí,DSETA,3
R0550,Big Bang Theory,Pizza Planeta,Diseños,Estudio,10/01/2023 00:00,A000010,Otra,Sur,Sí,ETA,4
R0551,Big Bang Theory,Narnia,Arquitectura,Experimento,11/01/2023 00:00,A000011,Suplantación de identidad,Centro,No,ETA,5
R0552,La Secu,Pandora,Sociología,Experimento,12/01/2023 00:00,A000012,Otra,Norte,Sí,KAPPA,6
R0553,Big Bang Theory,Pizza Planeta,Bienestar,Experimento,13/01/2023 00:00,A000013,Intercambio de tareas en línea,Sur,No,LAMBDA,1
R0554,Big Bang Theory,Pizza Planeta,Bienestar,Examen nivelador,14/01/2023 00:00,A000014,Copia en exámenes,Sur,Sí,OMICRON,2
R0555,Big Bang Theory,Pandora,Bienestar,Estudio,15/01/2023 00:00,A000015,Plagio,Norte,No,PI,3
R0556,La Secu,Narnia,Sociología,Estudio,16/01/2023 00:00,A000016,Plagio,Centro,No,SIGMA,4
R0557,La Secu,Pandora,Sociología,Experimento,17/01/2023 00:00,A000017,Copia en exámenes,Norte,No,OMEGA,5
R0558,La Secu,Pandora,Sociología,Experimento,18/01/2023 00:00,A000018,Copia en exámenes,Norte,No,JI,7
R0559,Big Bang Theory,Rarotonga,Bienestar,Examen nivelador,19/01/2023 00:00,A000019,Copia en exámenes,Norte,No,PHI,1
R0560,Big Bang Theory,Rarotonga,Bienestar,Examen nivelador,20/01/2023 00:00,A000020,Copia en exámenes,Norte,Sí,ETA,2
R0561,Big Bang Theory,Pizza Planeta,Bienestar,Estudio,21/01/2023 00:00,A000021,Copia en exámenes,Sur,No,KAPPA,3
R0562,Big Bang Theory,Wonderland,Arquitectura,Estudio,22/01/2023 00:00,A000022,Plagio,Centro,No,LAMBDA,4
R0563,Big Bang Theory,Narnia,Arquitectura,Examen nivelador,23/01/2023 00:00,A000023,Copia en exámenes,Centro,Sí,OMICRON,7
R0564,Big Bang Theory,Pizza Planeta,Arquitectura,Experimento,24/01/2023 00:00,A000024,Copia en exámenes,Sur,No,PI,6
R0565,Big Bang Theory,Pizza Planeta,Arquitectura,Experimento,25/01/2023 00:00,A000025,Otra,Sur,No,SIGMA,1
R0566,La Secu,Rarotonga,Sociología,Prototipo,26/01/2023 00:00,A000026,Plagio,Norte,No,OMEGA,2
R0567,Big Bang Theory,Narnia,Arquitectura,Examen nivelador,27/01/2023 00:00,A000027,Copia en exámenes,Centro,No,JI,3
R0568,Big Bang Theory,Narnia,Arquitectura,Examen nivelador,28/01/2023 00:00,A000028,Copia en exámenes,Centro,Sí,PHI,4
R0569,La Secu,Wonderland,Sociología,Examen nivelador,29/01/2023 00:00,A000029,Copia en exámenes,Centro,Sí,ALPHA,7
R0570,La Secu,Wonderland,Sociología,Examen nivelador,30/01/2023 00:00,A000030,Copia en exámenes,Centro,No,BETA,6
R0571,La Secu,Wonderland,Sociología,Examen nivelador,31/01/2023 00:00,A000031,Copia en exámenes,Centro,Sí,BETA,1
R0572,La Secu,Wonderland,Sociología,Examen nivelador,01/02/2023 00:00,A000032,Copia en exámenes,Centro,No,GAMMA,2
R0573,La Secu,Wonderland,Sociología,Examen nivelador,02/02/2023 00:00,A000033,Copia en exámenes,Centro,Sí,DELTA,3
R0574,La Secu,Wonderland,Sociología,Examen nivelador,03/02/2023 00:00,A000034,Copia en exámenes,Centro,No,ETA,7
R0575,La Secu,Wonderland,Sociología,Examen nivelador,04/02/2023 00:00,A000035,Copia en exámenes,Centro,No,KAPPA,5
R0576,Big Bang Theory,El País de Nunca Jamás,Bienestar,Estudio,05/02/2023 00:00,A000036,Plagio,Sur,No,LAMBDA,6
R0577,Big Bang Theory,Wonderland,Arquitectura,Examen nivelador,06/02/2023 00:00,A000037,Copia en exámenes,Centro,No,OMICRON,1
R0578,Big Bang Theory,"Muy, muy lejano",Arquitectura,Examen nivelador,07/02/2023 00:00,A000038,Copia en exámenes,Norte,No,PI,7
R0579,Big Bang Theory,"Muy, muy lejano",Arquitectura,Examen nivelador,08/02/2023 00:00,A000039,Copia en exámenes,Norte,Sí,SIGMA,3
R0580,La Secu,El País de Nunca Jamás,Sociología,Experimento,09/02/2023 00:00,A000040,Plagio,Sur,No,OMEGA,4
R0581,La Secu,El País de Nunca Jamás,Sociología,Prototipo,10/02/2023 00:00,A000041,Plagio,Sur,No,JI,5
R0582,Big Bang Theory,Wonderland,Diseños,Examen nivelador,11/02/2023 00:00,A000042,Otra,Centro,Sí,PHI,6
R0583,La Secu,Pandora,Sociología,Estudio,12/02/2023 00:00,A000043,Plagio,Norte,No,ETA,2
R0584,La Secu,Pandora,Sociología,Examen nivelador,13/02/2023 00:00,A000044,Otra,Norte,No,KAPPA,7
R0585,La Secu,Hogwarts,Sociología,Prototipo,14/02/2023 00:00,A000045,Plagio,Centro,No,LAMBDA,4
R0586,La Secu,Pandora,Sociología,Prototipo,15/02/2023 00:00,A000046,Plagio,Norte,No,OMICRON,5
R0587,La Secu,Hogwarts,Sociología,Prototipo,16/02/2023 00:00,A000047,Plagio,Centro,Sí,TAU,6
R0588,Big Bang Theory,Wonderland,Negocios,Estudio,17/02/2023 00:00,A000048,Plagio,Centro,Sí,PSI,1
R0589,Big Bang Theory,Wonderland,Negocios,Estudio,18/02/2023 00:00,A000049,Plagio,Centro,No,RHO,2
R0590,La Secu,Rarotonga,Sociología,Estudio,19/02/2023 00:00,A000050,Plagio,Norte,Sí,PI,7
R0591,Big Bang Theory,Genovia,Arquitectura,Examen nivelador,20/02/2023 00:00,A000051,Colusión,Norte,No,MU,4
R0592,Big Bang Theory,Wonderland,Arquitectura,Examen nivelador,21/02/2023 00:00,A000052,Copia en exámenes,Centro,Sí,IOTA,5
R0593,Big Bang Theory,Narnia,Ingeniería,Estudio,22/02/2023 00:00,A000053,Plagio,Centro,No,TAU,6
R0594,Big Bang Theory,Wonderland,Arquitectura,Prototipo,23/02/2023 00:00,A000054,Plagio,Centro,No,PSI,2
R0595,La Secu,Rarotonga,Sociología,Prototipo,24/02/2023 00:00,A000055,Intercambio de tareas en línea,Norte,No,RHO,3
R0596,La Secu,Rarotonga,Sociología,Prototipo,25/02/2023 00:00,A000056,Intercambio de tareas en línea,Norte,No,PI,7
R0597,Big Bang Theory,Wonderland,Arquitectura,Examen nivelador,26/02/2023 00:00,A000057,Copia en exámenes,Centro,No,MU,5
R0598,Big Bang Theory,Wonderland,Arquitectura,Examen nivelador,27/02/2023 00:00,A000058,Copia en exámenes,Centro,Sí,IOTA,6
R0599,Big Bang Theory,Wonderland,Arquitectura,Examen nivelador,28/02/2023 00:00,A000059,Copia en exámenes,Centro,No,ETA,1
R0600,Big Bang Theory,Wonderland,Arquitectura,Examen nivelador,01/03/2023 00:00,A000060,Copia en exámenes,Centro,No,KAPPA,2
R0601,Big Bang Theory,Wonderland,Arquitectura,Examen nivelador,02/03/2023 00:00,A000061,Copia en exámenes,Centro,Sí,LAMBDA,7
R0602,Big Bang Theory,Wonderland,Arquitectura,Examen nivelador,03/03/2023 00:00,A000062,Copia en exámenes,Centro,No,OMICRON,4
R0603,Big Bang Theory,Wonderland,Arquitectura,Examen nivelador,04/03/2023 00:00,A000063,Copia en exámenes,Centro,No,TAU,5
R0604,Big Bang Theory,"Muy, muy lejano",Negocios,Estudio,05/03/2023 00:00,A000064,Colusión,Norte,No,PSI,6
R0605,Big Bang Theory,"Muy, muy lejano",Negocios,Estudio,06/03/2023 00:00,A000065,Copia en exámenes,Norte,No,RHO,2
R0606,Big Bang Theory,"Muy, muy lejano",Negocios,Estudio,07/03/2023 00:00,A000066,Colusión,Norte,Sí,PI,3
R0607,Big Bang Theory,Wonderland,Negocios,Estudio,08/03/2023 00:00,A000067,Plagio,Centro,Sí,MU,4
R0608,Big Bang Theory,Narnia,Negocios,Estudio,09/03/2023 00:00,A000068,Colusión,Centro,No,ALPHA,7
R0609,Big Bang Theory,Genovia,Ingeniería,Estudio,10/03/2023 00:00,A000069,Plagio,Norte,Sí,ALPHA,6
R0610,Big Bang Theory,Genovia,Ingeniería,Estudio,11/03/2023 00:00,A000070,Plagio,Norte,No,ALPHA,1
R0611,Big Bang Theory,Genovia,Ingeniería,Estudio,12/03/2023 00:00,A000071,Plagio,Norte,Sí,BETA,2
R0612,Big Bang Theory,Genovia,Ingeniería,Estudio,13/03/2023 00:00,A000072,Plagio,Norte,No,BETA,3
R0613,Big Bang Theory,Genovia,Diseños,Examen nivelador,14/03/2023 00:00,A000073,Copia en exámenes,Norte,No,GAMMA,4
R0614,Big Bang Theory,El País de Nunca Jamás,Ingeniería,Examen nivelador,15/03/2023 00:00,A000074,Plagio,Sur,No,DELTA,7
R0615,Big Bang Theory,Genovia,Negocios,Prototipo,16/03/2023 00:00,A000075,Plagio,Norte,No,EPSILON,6
R0616,Big Bang Theory,Genovia,Negocios,Prototipo,17/03/2023 00:00,A000076,Plagio,Norte,No,DSETA,2
R0617,Big Bang Theory,Genovia,Ingeniería,Estudio,18/03/2023 00:00,A000077,Plagio,Norte,Sí,ETA,3
R0618,Big Bang Theory,Wonderland,Arquitectura,Examen nivelador,19/03/2023 00:00,A000078,Copia en exámenes,Centro,No,ETA,4
